Fri Jun 14 2013 00:00:00 GMT-0400 (Eastern Daylight Time),103.95,104.70,98.00,99.98,0,1128709292
Sat Jun 15 2013 00:00:00 GMT-0400 (Eastern Daylight Time),100.00,103.70,98.00,99.99,0,1129245604
Sun Jun 16 2013 00:00:00 GMT-0400 (Eastern Daylight Time),99.80,101.60,98.95,99.51,0,1124306272
Mon Jun 17 2013 00:00:00 GMT-0400 (Eastern Daylight Time),99.90,102.21,99.00,101.70,0,1149418485
Tue Jun 18 2013 00:00:00 GMT-0400 (Eastern Daylight Time),101.95,111.11,101.03,107.40,0,1214216070
Wed Jun 19 2013 00:00:00 GMT-0400 (Eastern Daylight Time),107.05,110.22,105.75,108.25,0,1224193838
Thu Jun 20 2013 00:00:00 GMT-0400 (Eastern Daylight Time),108.25,114.30,107.50,110.15,0,1246104920
Fri Jun 21 2013 00:00:00 GMT-0400 (Eastern Daylight Time),111.29,114.99,107.68,109.50,0,1239214238
Sat Jun 22 2013 00:00:00 GMT-0400 (Eastern Daylight Time),109.50,109.96,107.51,108.30,0,1226110328
Sun Jun 23 2013 00:00:00 GMT-0400 (Eastern Daylight Time),108.20,108.80,106.23,107.60,0,1218626490
Mon Jun 24 2013 00:00:00 GMT-0400 (Eastern Daylight Time),107.90,108.33,100.98,102.74,0,1163935726
Tue Jun 25 2013 00:00:00 GMT-0400 (Eastern Daylight Time),102.09,106.47,101.01,103.95,0,1178086140
Wed Jun 26 2013 00:00:00 GMT-0400 (Eastern Daylight Time),103.33,105.49,102.79,104.00,0,1179105200
Thu Jun 27 2013 00:00:00 GMT-0400 (Eastern Daylight Time),104.00,104.00,101.10,101.44,0,1150468023
Fri Jun 28 2013 00:00:00 GMT-0400 (Eastern Daylight Time),101.74,101.74,92.33,94.65,0,1073887457
Sat Jun 29 2013 00:00:00 GMT-0400 (Eastern Daylight Time),94.66,99.99,93.00,94.99,0,1078198524
Sun Jun 30 2013 00:00:00 GMT-0400 (Eastern Daylight Time),95.00,98.12,94.22,96.61,0,1096957771
Mon Jul 01 2013 00:00:00 GMT-0400 (Eastern Daylight Time),97.51,97.66,86.30,88.05,0,1000065296
